MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010002024018,11,1,202,4,4018,4018,Block 4018,BK,S,,,,32559,U,38.9037919,-77.0789337,38.9037919,-77.0789337
G5040,2.10404E+14,110010002024019,11,1,202,4,4019,4019,Block 4019,BK,S,,,,250892,U,38.9030329,-77.0739288,38.9030329,-77.0739288
G5040,2.10404E+14,110010002024020,11,1,202,4,4020,4020,Block 4020,BK,S,,,,120656,U,38.9020781,-77.0673007,38.9020781,-77.0673007
G5040,2.10404E+14,110010002024021,11,1,202,4,4021,4021,Block 4021,BK,S,,,30363,,U,38.9030816,-77.065891,38.9030816,-77.065891
G5040,2.10404E+14,110010002024022,11,1,202,4,4022,4022,Block 4022,BK,S,,,3296,,U,38.9030692,-77.0648699,38.9026048,-77.063009
G5040,2.10404E+14,110010002024023,11,1,202,4,4023,4023,Block 4023,BK,S,183,147,13929,,U,38.904042,-77.0672693,38.904042,-77.0672693
G5040,2.10404E+14,110010002024024,11,1,202,4,4024,4024,Block 4024,BK,S,,,,7809,U,38.9043046,-77.0657902,38.904254,-77.064315
G5040,2.10404E+14,110010002024025,11,1,202,4,4025,4025,Block 4025,BK,S,22,9,16673,,U,38.9047546,-77.0672789,38.9047546,-77.0672789
G5040,2.10404E+14,110010002024026,11,1,202,4,4026,4026,Block 4026,BK,S,132,96,25827,,U,38.9047258,-77.0643941,38.9047258,-77.0643941
G5040,2.10404E+14,110010002024027,11,1,202,4,4027,4027,Block 4027,BK,S,79,46,2351,,U,38.9040712,-77.0644885,38.9040712,-77.0644885
G5040,2.10404E+14,110010002024028,11,1,202,4,4028,4028,Block 4028,BK,S,64,38,2254,,U,38.9040769,-77.0633686,38.9040769,-77.0633686
G5040,2.10404E+14,110010002024029,11,1,202,4,4029,4029,Block 4029,BK,S,75,45,5657,,U,38.9037163,-77.0633359,38.9037163,-77.0633359
G5040,2.10404E+14,110010002024030,11,1,202,4,4030,4030,Block 4030,BK,S,16,10,10714,,U,38.9034523,-77.0644329,38.9034523,-77.0644329
G5040,2.10404E+14,110010002024031,11,1,202,4,4031,4031,Block 4031,BK,S,70,41,8011,,U,38.9037217,-77.0654671,38.9037217,-77.0654671
G5040,2.10404E+14,110010002024032,11,1,202,4,4032,4032,Block 4032,BK,S,19,12,8460,,U,38.903071,-77.0633132,38.903071,-77.0633132
G5040,2.10404E+14,110010002024033,11,1,202,4,4033,4033,Block 4033,BK,S,,,2,2,U,38.9020673,-77.0627458,38.902077,-77.0627453
G5040,2.10404E+14,110010002024034,11,1,202,4,4034,4034,Block 4034,BK,S,,,,915,U,38.9046551,-77.0697944,38.9046551,-77.0697944
G5040,2.10404E+14,110010003001000,11,1,300,1,1000,1000,Block 1000,BK,S,274,167,35754,,U,38.9203746,-77.0724694,38.9203746,-77.0724694
G5040,2.10404E+14,110010003001001,11,1,300,1,1001,1001,Block 1001,BK,S,137,84,70005,,U,38.9175593,-77.0711719,38.9175593,-77.0711719
G5040,2.10404E+14,110010003001002,11,1,300,1,1002,1002,Block 1002,BK,S,68,37,11930,,U,38.9194527,-77.0714901,38.9194527,-77.0714901
G5040,2.10404E+14,110010003001003,11,1,300,1,1003,1003,Block 1003,BK,S,157,53,15575,,U,38.9159088,-77.0720637,38.9159088,-77.0720637
G5040,2.10404E+14,110010003001004,11,1,300,1,1004,1004,Block 1004,BK,S,91,46,10205,,U,38.9159773,-77.0707128,38.9159773,-77.0707128
G5040,2.10404E+14,110010003001005,11,1,300,1,1005,1005,Block 1005,BK,S,96,46,9147,,U,38.9160176,-77.0698076,38.9160176,-77.0698076
G5040,2.10404E+14,110010003001006,11,1,300,1,1006,1006,Block 1006,BK,S,163,65,15848,,U,38.9149974,-77.0702597,38.9149974,-77.0702597
G5040,2.10404E+14,110010003001007,11,1,300,1,1007,1007,Block 1007,BK,S,141,43,14023,,U,38.9149542,-77.0719817,38.9149542,-77.0719817
G5040,2.10404E+14,110010003001008,11,1,300,1,1008,1008,Block 1008,BK,S,125,41,14201,,U,38.9140486,-77.0719413,38.9140486,-77.0719413
G5040,2.10404E+14,110010003001009,11,1,300,1,1009,1009,Block 1009,BK,S,106,44,16070,,U,38.9140913,-77.070219,38.9140913,-77.070219
